Porosity,Permeability_1,Permeability_2,Permeability_3,Error
2.909912e-01,1.622080e-13,7.158212e-13,5.935170e-13,6.140443e-05
2.944267e-01,1.777588e-13,7.627083e-13,1.330945e-13,7.591233e-05
1.385959e-01,8.595536e-13,5.668310e-13,1.547811e-13,5.220859e-04
1.050401e-01,9.561014e-13,1.602874e-13,9.383271e-13,5.950611e-04
1.714412e-01,8.702063e-13,2.689245e-13,3.862523e-13,5.645124e-04
1.637721e-01,1.419444e-13,1.453776e-13,4.625483e-13,3.484251e-05
1.295176e-01,4.861723e-13,6.733787e-13,2.223275e-13,2.662238e-04
2.235844e-01,6.847080e-13,9.948879e-13,9.351196e-13,4.933514e-04
2.274089e-01,7.341475e-14,9.123301e-13,4.127649e-13,2.741776e-05
1.337464e-01,8.178965e-13,1.284920e-13,2.386964e-13,4.943906e-04
1.189728e-01,8.504705e-13,7.420446e-13,3.161959e-13,5.125298e-04
2.164272e-01,5.327139e-13,5.304545e-13,4.047150e-13,3.621842e-04
1.961732e-01,8.545166e-13,9.909163e-13,3.949899e-13,5.970163e-04
2.996184e-01,3.496019e-13,5.962304e-13,1.823006e-13,2.358364e-04
